age,reason,studytime,failures,schoolsup,higher,goout,health,absences,G3
16,course,5 to 10 hours,0,1,1,5,3,2,13
16,other,<2 hours,0,1,1,5,4,12,8
16,other,5 to 10 hours,0,0,1,3,4,0,16
15,course,<2 hours,0,0,1,3,5,2,12
15,home,2 to 5 hours,0,1,1,5,2,16,10
15,course,2 to 5 hours,0,0,1,4,1,0,16
15,reputation,>10 hours,0,1,1,3,4,10,10
15,course,>10 hours,0,1,1,2,3,4,10
16,home,5 to 10 hours,0,0,1,3,5,4,14
15,home,>10 hours,0,0,1,5,1,8,11
16,other,5 to 10 hours,0,0,1,5,4,2,14
15,course,<2 hours,0,0,1,3,4,4,14
16,reputation,5 to 10 hours,0,1,1,2,2,4,11
16,home,2 to 5 hours,1,1,1,2,5,12,10
15,course,<2 hours,0,0,1,2,3,10,18
15,reputation,2 to 5 hours,0,0,1,2,5,4,10
16,course,2 to 5 hours,0,0,1,4,5,6,14
15,reputation,2 to 5 hours,0,0,1,3,2,4,16
16,home,<2 hours,0,0,1,2,5,6,15
17,course,2 to 5 hours,1,0,1,4,5,14,11
15,reputation,<2 hours,0,0,1,3,4,2,14
15,course,2 to 5 hours,0,0,1,3,1,0,14
15,home,>10 hours,0,0,1,4,5,6,13
16,course,2 to 5 hours,0,0,1,2,5,2,13
16,course,<2 hours,0,0,1,4,5,4,13
16,home,2 to 5 hours,0,0,1,4,5,0,11
15,home,<2 hours,0,1,1,5,5,2,9
15,home,2 to 5 hours,0,1,1,2,1,0,11
19,course,2 to 5 hours,2,0,0,2,5,0,11
16,course,<2 hours,0,0,1,5,4,8,15
16,course,5 to 10 hours,0,0,1,3,1,4,13
15,course,5 to 10 hours,0,0,1,2,5,0,12
18,reputation,2 to 5 hours,3,0,0,5,5,10,8
17,course,<2 hours,0,0,1,2,5,8,11
15,course,<2 hours,0,0,1,3,4,6,13
17,course,<2 hours,0,0,1,4,5,2,12
16,course,<2 hours,0,0,1,1,5,12,14
16,course,<2 hours,0,0,1,1,2,4,11
16,home,<2 hours,1,0,1,4,5,12,11
15,course,2 to 5 hours,0,0,1,3,5,2,11
15,course,5 to 10 hours,0,0,1,3,5,4,15
17,course,2 to 5 hours,0,0,1,5,5,2,10
16,course,2 to 5 hours,0,0,1,3,3,0,13
18,course,<2 hours,0,0,1,4,4,2,12
18,course,5 to 10 hours,0,0,1,3,5,10,11
16,reputation,<2 hours,0,0,1,3,1,8,11
16,course,<2 hours,0,0,1,2,5,4,10
16,course,2 to 5 hours,2,0,1,4,5,0,10
15,course,<2 hours,0,0,1,2,5,6,14
15,course,<2 hours,1,0,1,5,1,2,9
15,course,>10 hours,0,1,1,2,3,6,11
15,home,2 to 5 hours,0,0,1,2,1,24,9
16,course,5 to 10 hours,0,0,1,3,5,0,13
16,reputation,<2 hours,0,0,1,3,2,4,11
15,course,5 to 10 hours,0,0,1,2,5,2,13
16,course,<2 hours,0,0,1,4,1,4,11
17,home,<2 hours,0,0,1,5,5,22,6
15,course,2 to 5 hours,0,0,1,2,5,0,12
15,home,<2 hours,0,0,0,2,5,0,10
15,home,2 to 5 hours,1,0,1,2,3,2,11
15,course,2 to 5 hours,0,0,1,2,5,6,13
15,course,2 to 5 hours,0,0,1,4,1,6,11
16,course,<2 hours,0,0,0,2,5,16,8
15,course,<2 hours,0,0,1,5,5,0,11
18,course,<2 hours,2,0,0,5,4,0,0
16,course,<2 hours,1,0,1,4,5,6,10
15,reputation,5 to 10 hours,0,0,1,1,3,2,13
19,home,<2 hours,0,0,0,4,4,6,11
17,course,<2 hours,0,1,1,1,4,0,13
15,course,2 to 5 hours,0,1,1,4,1,0,8
17,reputation,<2 hours,3,0,1,2,5,14,10
18,course,<2 hours,3,0,1,5,4,6,11
16,course,<2 hours,0,0,1,2,3,4,11
16,course,2 to 5 hours,1,0,1,5,5,0,1
16,course,<2 hours,2,0,1,5,5,0,10
17,course,<2 hours,1,0,0,2,5,8,9
17,course,2 to 5 hours,2,1,1,4,3,4,8
15,course,<2 hours,0,0,1,4,5,2,10
16,course,<2 hours,1,0,0,3,2,2,8
17,course,2 to 5 hours,0,0,0,5,5,0,8
17,course,<2 hours,3,0,0,2,2,10,8
16,course,2 to 5 hours,0,0,0,5,4,0,11
16,home,2 to 5 hours,0,0,1,3,3,0,18
16,home,2 to 5 hours,0,0,1,5,4,0,13
16,reputation,2 to 5 hours,0,0,1,2,3,0,17
16,course,<2 hours,1,0,1,5,2,4,10
16,reputation,2 to 5 hours,0,0,1,2,3,0,18
17,reputation,2 to 5 hours,0,0,1,4,5,0,10
16,home,2 to 5 hours,0,0,1,5,3,0,13
16,reputation,2 to 5 hours,0,0,1,5,4,0,15
17,course,2 to 5 hours,0,0,1,4,4,0,11
16,reputation,2 to 5 hours,0,0,1,4,5,0,14
17,reputation,2 to 5 hours,0,0,1,4,4,4,10
16,other,<2 hours,0,0,1,3,3,8,11
17,course,2 to 5 hours,0,0,1,3,2,4,13
16,home,2 to 5 hours,0,0,1,3,3,4,11
16,home,2 to 5 hours,0,0,1,3,3,0,13
17,reputation,2 to 5 hours,0,0,1,2,5,0,17
17,reputation,2 to 5 hours,0,0,1,3,1,32,14
16,reputation,2 to 5 hours,0,0,1,2,1,8,16
17,other,2 to 5 hours,0,0,1,4,4,6,14
16,other,<2 hours,0,0,1,3,3,0,11
16,course,2 to 5 hours,0,0,1,3,5,0,16
17,reputation,2 to 5 hours,0,0,1,3,3,10,14
17,home,2 to 5 hours,0,0,1,3,3,6,10
16,course,2 to 5 hours,0,0,1,3,2,6,13
17,course,2 to 5 hours,0,0,1,3,3,0,12
17,other,2 to 5 hours,0,0,1,4,5,16,12
16,reputation,<2 hours,0,0,1,2,5,0,10
16,home,<2 hours,0,0,1,3,3,0,12
17,course,2 to 5 hours,0,0,1,2,5,8,16
17,home,<2 hours,0,0,1,3,5,4,14
16,home,<2 hours,0,0,1,4,3,16,12
17,home,<2 hours,1,0,1,4,2,30,16
16,reputation,2 to 5 hours,0,0,1,2,3,0,11
16,home,2 to 5 hours,0,0,1,5,2,2,15
16,reputation,2 to 5 hours,0,1,1,3,4,4,12
17,course,2 to 5 hours,0,0,1,4,1,0,15
17,reputation,<2 hours,0,0,1,2,3,21,13
16,reputation,>10 hours,0,0,1,5,5,6,13
17,home,5 to 10 hours,1,0,1,3,5,14,8
16,course,2 to 5 hours,0,0,1,3,4,2,12
16,other,2 to 5 hours,0,0,1,2,1,4,15
16,home,<2 hours,0,0,1,2,5,2,13
17,reputation,5 to 10 hours,0,0,1,2,4,0,12
19,reputation,>10 hours,0,0,1,3,3,4,12
17,home,2 to 5 hours,0,0,1,5,3,15,12
16,reputation,2 to 5 hours,0,1,1,4,4,0,13
18,home,2 to 5 hours,0,0,1,4,5,10,11
17,other,<2 hours,0,0,1,1,3,6,11
17,reputation,2 to 5 hours,0,0,1,4,1,2,15
17,reputation,2 to 5 hours,0,0,1,5,1,16,10
18,home,2 to 5 hours,0,0,1,4,4,10,10
17,home,<2 hours,0,0,1,3,3,4,13
17,course,5 to 10 hours,0,0,1,3,4,0,13
17,reputation,2 to 5 hours,0,0,1,5,5,0,11
17,reputation,5 to 10 hours,0,0,1,4,5,12,12
16,other,2 to 5 hours,0,1,1,1,3,0,14
18,home,2 to 5 hours,3,0,1,3,4,9,10
16,home,5 to 10 hours,0,0,1,2,5,4,16
18,reputation,2 to 5 hours,0,0,1,3,4,4,8
17,course,2 to 5 hours,0,0,1,4,3,2,17
17,reputation,2 to 5 hours,0,0,1,3,3,0,11
18,course,2 to 5 hours,0,1,1,2,3,2,11
17,course,5 to 10 hours,0,0,1,3,3,0,16
17,reputation,2 to 5 hours,0,0,1,3,3,0,12
17,course,2 to 5 hours,0,0,1,2,1,0,13
17,reputation,2 to 5 hours,0,1,1,5,2,0,13
16,reputation,2 to 5 hours,0,0,1,4,1,0,14
16,home,2 to 5 hours,0,0,1,2,5,2,9
16,reputation,5 to 10 hours,0,0,1,3,2,0,12
17,home,2 to 5 hours,0,0,1,2,4,0,16
16,home,<2 hours,0,0,1,2,5,4,10
16,home,2 to 5 hours,0,0,1,3,5,0,13
18,course,2 to 5 hours,1,0,1,3,3,18,10
18,course,2 to 5 hours,1,0,1,1,5,16,10
18,course,<2 hours,1,0,0,1,3,14,7
18,course,<2 hours,1,0,0,3,1,26,8
17,course,<2 hours,0,0,1,1,5,6,9
17,course,2 to 5 hours,0,0,1,2,3,4,15
17,course,5 to 10 hours,0,0,1,2,4,10,10
16,course,<2 hours,0,0,0,5,5,4,11
17,course,2 to 5 hours,0,0,1,1,3,2,13
17,course,<2 hours,1,0,1,4,5,14,8
18,reputation,2 to 5 hours,0,0,0,4,2,16,8
17,home,<2 hours,1,0,0,2,1,8,10
17,course,5 to 10 hours,0,0,1,3,5,4,15
17,course,2 to 5 hours,0,0,1,2,4,4,14
17,course,2 to 5 hours,0,0,1,5,5,8,15
17,course,2 to 5 hours,0,0,1,3,4,0,12
16,course,<2 hours,0,0,1,5,3,7,15
16,course,<2 hours,0,0,1,2,5,4,15
17,course,2 to 5 hours,0,0,1,1,5,2,12
17,home,5 to 10 hours,0,0,1,3,1,2,15
17,home,5 to 10 hours,0,0,1,2,5,10,11
17,course,2 to 5 hours,0,1,1,2,4,10,10
18,course,5 to 10 hours,0,0,1,4,3,10,11
16,course,<2 hours,0,0,1,3,4,7,16
17,course,2 to 5 hours,0,0,1,4,5,4,11
17,course,<2 hours,0,0,1,2,2,2,13
22,other,<2 hours,3,0,0,5,1,12,5
18,course,2 to 5 hours,0,0,1,3,5,8,10
16,other,<2 hours,0,0,1,2,5,0,11
18,course,<2 hours,0,0,0,5,5,8,7
16,reputation,2 to 5 hours,1,1,1,3,2,4,10
18,other,<2 hours,2,0,0,5,5,4,6
16,course,<2 hours,0,0,1,2,3,2,12
17,course,<2 hours,0,0,1,2,5,0,13
17,course,<2 hours,1,0,1,4,5,0,10
18,course,2 to 5 hours,0,0,1,4,5,2,13
17,reputation,>10 hours,0,0,1,3,4,2,17
19,home,2 to 5 hours,0,0,1,3,5,0,11
18,course,2 to 5 hours,1,0,0,5,5,4,11
17,course,5 to 10 hours,0,0,1,4,5,2,14
18,home,5 to 10 hours,0,0,1,3,3,4,14
18,home,2 to 5 hours,0,1,1,3,5,4,13
19,reputation,2 to 5 hours,0,0,1,1,1,4,14
18,home,2 to 5 hours,0,0,1,4,4,2,16
17,other,<2 hours,0,0,0,2,4,0,10
17,course,>10 hours,0,0,1,1,2,2,12
20,course,2 to 5 hours,0,0,0,3,2,8,12
18,home,2 to 5 hours,0,0,1,2,2,2,15
18,course,2 to 5 hours,0,0,1,2,3,2,11
18,course,5 to 10 hours,0,0,1,2,3,2,12
17,home,5 to 10 hours,0,0,1,3,4,2,13
18,home,5 to 10 hours,0,0,1,3,3,0,13
17,home,<2 hours,0,0,0,4,4,8,9
18,reputation,2 to 5 hours,0,0,1,5,1,6,16
17,other,2 to 5 hours,0,0,1,4,5,0,14
18,reputation,2 to 5 hours,0,0,1,4,4,8,12
18,reputation,2 to 5 hours,0,0,1,5,5,4,14
18,reputation,2 to 5 hours,0,0,0,5,3,12,10
19,home,2 to 5 hours,0,0,1,5,5,16,12
18,reputation,>10 hours,0,0,1,5,2,10,16
18,home,2 to 5 hours,0,0,1,3,3,2,13
17,home,2 to 5 hours,0,0,1,2,1,2,18
18,home,2 to 5 hours,0,0,1,5,1,8,15
17,reputation,2 to 5 hours,0,0,1,3,1,6,16
17,course,2 to 5 hours,0,1,1,4,5,6,12
18,home,2 to 5 hours,0,0,0,1,5,15,10
18,home,<2 hours,0,0,1,4,3,6,12
18,reputation,2 to 5 hours,1,1,1,4,4,2,13
17,reputation,5 to 10 hours,0,0,1,3,1,8,15
19,reputation,2 to 5 hours,1,1,0,3,3,0,10
18,course,<2 hours,0,0,1,3,1,0,10
18,home,<2 hours,0,0,0,4,4,10,11
17,home,<2 hours,0,0,1,4,5,22,10
17,home,<2 hours,0,0,1,4,3,18,13
18,reputation,>10 hours,0,0,1,2,3,2,18
18,home,2 to 5 hours,0,1,1,4,4,0,13
17,course,2 to 5 hours,0,0,1,5,5,12,14
18,reputation,2 to 5 hours,0,0,1,1,5,10,14
17,reputation,2 to 5 hours,0,0,1,3,4,0,12
18,other,5 to 10 hours,0,0,1,3,2,0,18
17,reputation,5 to 10 hours,0,0,1,3,3,0,14
18,reputation,5 to 10 hours,0,0,1,4,2,0,15
18,reputation,2 to 5 hours,0,0,1,3,2,0,17
18,home,2 to 5 hours,0,0,1,2,5,2,16
17,reputation,5 to 10 hours,0,0,1,2,3,0,18
17,reputation,>10 hours,0,0,1,2,3,0,19
18,reputation,5 to 10 hours,0,0,1,2,4,0,15
17,home,<2 hours,0,0,1,3,5,0,15
19,reputation,2 to 5 hours,0,0,1,4,2,2,13
18,home,2 to 5 hours,0,0,1,5,2,0,14
18,reputation,>10 hours,0,0,1,3,3,0,17
18,home,<2 hours,0,0,1,2,1,0,17
18,home,2 to 5 hours,0,0,1,4,4,0,15
17,home,<2 hours,0,0,1,1,5,0,13
17,reputation,5 to 10 hours,0,0,1,4,5,0,8
17,reputation,5 to 10 hours,0,0,1,3,3,0,16
17,reputation,>10 hours,0,0,1,2,5,0,18
19,course,5 to 10 hours,1,0,1,1,5,0,11
20,course,<2 hours,2,0,1,3,5,0,15
19,reputation,2 to 5 hours,0,0,1,3,5,0,11
18,home,2 to 5 hours,0,1,1,4,5,2,11
18,course,2 to 5 hours,0,0,1,3,1,2,15
17,course,2 to 5 hours,0,0,1,1,3,2,14
17,course,<2 hours,0,0,1,4,5,2,17
18,course,5 to 10 hours,0,0,1,4,5,2,17
18,course,<2 hours,0,0,1,4,1,8,15
17,course,5 to 10 hours,0,0,1,4,5,2,17
18,course,2 to 5 hours,0,0,1,4,3,8,14
19,course,2 to 5 hours,0,0,1,4,1,9,10
18,course,2 to 5 hours,0,0,1,4,5,0,13
18,course,<2 hours,0,0,1,4,1,4,14
17,course,<2 hours,0,0,1,4,5,2,17
17,course,2 to 5 hours,0,0,1,2,5,14,17
17,home,2 to 5 hours,0,1,1,3,5,0,13
17,home,2 to 5 hours,0,0,1,3,2,2,14
18,reputation,<2 hours,0,0,1,5,5,2,11
19,course,5 to 10 hours,0,0,0,5,5,12,11
19,course,2 to 5 hours,2,0,1,4,4,2,9
18,course,<2 hours,0,0,1,5,5,2,10
17,course,2 to 5 hours,0,0,1,2,3,4,13
17,course,5 to 10 hours,0,0,1,2,3,0,10
17,course,5 to 10 hours,0,0,1,3,5,0,17
17,home,5 to 10 hours,0,0,1,3,2,0,15
18,home,5 to 10 hours,0,0,1,5,2,0,14
18,course,5 to 10 hours,0,0,1,3,3,0,13
17,reputation,<2 hours,0,0,1,5,5,0,17
17,course,<2 hours,0,0,1,5,4,2,10
17,course,5 to 10 hours,0,0,1,4,4,0,13
17,course,5 to 10 hours,0,0,1,3,4,4,15
17,course,<2 hours,0,0,1,5,5,2,11
18,course,>10 hours,0,0,1,5,5,0,12
19,home,<2 hours,0,0,1,4,5,0,10
18,course,2 to 5 hours,0,0,1,5,2,2,10
17,course,5 to 10 hours,0,0,1,3,5,0,15
18,reputation,<2 hours,0,0,1,2,5,6,15
18,home,2 to 5 hours,0,0,1,4,4,8,12
18,home,2 to 5 hours,0,0,1,3,2,0,12
18,course,>10 hours,0,0,1,4,4,6,14
17,course,5 to 10 hours,0,0,1,5,5,8,14
17,home,2 to 5 hours,0,0,1,2,2,0,15
18,home,>10 hours,0,0,1,3,1,4,15
17,home,2 to 5 hours,0,0,1,3,2,0,16
18,home,2 to 5 hours,0,0,1,3,2,0,13
18,home,2 to 5 hours,0,0,1,3,5,6,17
17,home,2 to 5 hours,0,0,1,1,4,18,14
18,course,5 to 10 hours,0,0,1,3,3,0,14
18,other,5 to 10 hours,0,0,1,3,1,4,17
18,course,5 to 10 hours,0,0,1,2,4,4,17
18,course,5 to 10 hours,0,0,1,5,5,0,14
17,reputation,5 to 10 hours,0,0,1,3,4,0,13
17,course,2 to 5 hours,0,0,1,4,1,10,15
17,reputation,2 to 5 hours,0,0,1,5,4,4,16
19,home,<2 hours,1,0,0,3,5,16,11
17,home,<2 hours,1,0,1,2,3,6,13
21,reputation,5 to 10 hours,2,0,1,2,5,0,12
18,reputation,2 to 5 hours,0,0,0,4,3,11,12
18,reputation,2 to 5 hours,0,0,1,5,2,9,15
17,reputation,2 to 5 hours,0,0,1,4,4,0,17
17,reputation,5 to 10 hours,0,0,1,2,4,2,15
18,course,2 to 5 hours,0,0,1,2,3,0,17
21,course,2 to 5 hours,2,0,0,3,4,21,10
20,reputation,5 to 10 hours,0,0,1,2,3,8,15
19,home,<2 hours,1,0,1,5,5,5,11
17,reputation,2 to 5 hours,0,0,1,4,5,10,18
18,reputation,5 to 10 hours,0,0,1,4,2,5,17
18,reputation,<2 hours,0,0,1,3,4,13,14
19,reputation,<2 hours,0,0,1,4,4,10,11
18,reputation,2 to 5 hours,0,0,1,4,4,10,17
20,reputation,<2 hours,1,1,1,1,5,5,10
18,home,2 to 5 hours,0,0,1,2,1,4,13
